dvh,  no_dvh
0.592, 1.313
0.601, 1.316
0.572, 1.259
0.597, 1.371
0.606, 1.202
0.607, 1.660
0.596, 1.538
0.583, 1.414
0.606, 1.548
0.590, 1.560
0.590, 1.637
0.591, 1.576
0.563, 1.745
0.583, 1.713
0.584, 1.592
0.587, 1.461
0.585, 1.537
0.594, 1.535
0.587, 1.528
0.581, 1.490
0.583, 1.599
0.581, 1.505
0.578, 1.530
0.588, 1.566
0.578, 1.487
0.604, 1.508
0.601, 1.442
0.587, 1.242
0.577, 1.248
0.573, 1.314
0.593, 1.367
0.575, 1.382
0.576, 1.425
0.590, 1.330
0.582, 1.405
0.575, 1.301
0.582, 1.697
0.577, 1.561
0.591, 1.465
0.584, 1.372
0.584, 1.390
0.572, 1.733
0.593, 1.545
0.578, 1.415
0.586, 1.308
0.576, 1.305
0.572, 1.332
0.588, 1.441
0.579, 1.393
0.582, 1.510
