Test,Iteration,Cycles
r_perf_capabilities,1,3028
r_perf_capabilities,2,3048
r_perf_capabilities,3,3036
r_perf_capabilities,4,3041
r_perf_capabilities,5,2963
r_perf_capabilities,6,2996
r_perf_capabilities,7,3049
r_perf_capabilities,8,2990
r_perf_capabilities,9,3061
r_perf_capabilities,10,3070
r_perf_capabilities,11,3036
r_perf_capabilities,12,3051
r_perf_capabilities,13,3055
r_perf_capabilities,14,2977
r_perf_capabilities,15,3030
r_perf_capabilities,16,3033
r_perf_capabilities,17,3040
r_perf_capabilities,18,3039
r_perf_capabilities,19,3033
r_perf_capabilities,20,3046
r_perf_capabilities,21,3064
r_perf_capabilities,22,3024
r_perf_capabilities,23,3046
r_perf_capabilities,24,3059
r_perf_capabilities,25,3059
r_perf_capabilities,26,3016
r_perf_capabilities,27,3058
r_perf_capabilities,28,3060
r_perf_capabilities,29,3000
r_perf_capabilities,30,2997
r_perf_global_status,1,3003
r_perf_global_status,2,3004
r_perf_global_status,3,3058
r_perf_global_status,4,2984
r_perf_global_status,5,3071
r_perf_global_status,6,3056
r_perf_global_status,7,3061
r_perf_global_status,8,3058
r_perf_global_status,9,3062
r_perf_global_status,10,3048
r_perf_global_status,11,3079
r_perf_global_status,12,3057
r_perf_global_status,13,3062
r_perf_global_status,14,3072
r_perf_global_status,15,3086
r_perf_global_status,16,3053
r_perf_global_status,17,3080
r_perf_global_status,18,3082
r_perf_global_status,19,3087
r_perf_global_status,20,3097
r_perf_global_status,21,3010
r_perf_global_status,22,3008
r_perf_global_status,23,3084
r_perf_global_status,24,3080
r_perf_global_status,25,3076
r_perf_global_status,26,3077
r_perf_global_status,27,3048
r_perf_global_status,28,3070
r_perf_global_status,29,3005
r_perf_global_status,30,3065
w_perf_global_ctrl,1,3064
w_perf_global_ctrl,2,3082
w_perf_global_ctrl,3,3055
w_perf_global_ctrl,4,3043
w_perf_global_ctrl,5,3091
w_perf_global_ctrl,6,3093
w_perf_global_ctrl,7,3086
w_perf_global_ctrl,8,3084
w_perf_global_ctrl,9,3083
w_perf_global_ctrl,10,3078
w_perf_global_ctrl,11,3086
w_perf_global_ctrl,12,3065
w_perf_global_ctrl,13,3085
w_perf_global_ctrl,14,3066
w_perf_global_ctrl,15,3064
w_perf_global_ctrl,16,2995
w_perf_global_ctrl,17,3083
w_perf_global_ctrl,18,3063
w_perf_global_ctrl,19,2998
w_perf_global_ctrl,20,3064
w_perf_global_ctrl,21,3022
w_perf_global_ctrl,22,3021
w_perf_global_ctrl,23,3090
w_perf_global_ctrl,24,3088
w_perf_global_ctrl,25,3094
w_perf_global_ctrl,26,3076
w_perf_global_ctrl,27,3072
w_perf_global_ctrl,28,3067
w_perf_global_ctrl,29,3079
w_perf_global_ctrl,30,3071
w_perf_fixed_ctr_ctrl,1,3037
w_perf_fixed_ctr_ctrl,2,3057
w_perf_fixed_ctr_ctrl,3,3086
w_perf_fixed_ctr_ctrl,4,3080
w_perf_fixed_ctr_ctrl,5,3087
w_perf_fixed_ctr_ctrl,6,3094
w_perf_fixed_ctr_ctrl,7,3113
w_perf_fixed_ctr_ctrl,8,3106
w_perf_fixed_ctr_ctrl,9,3105
w_perf_fixed_ctr_ctrl,10,3108
w_perf_fixed_ctr_ctrl,11,3131
w_perf_fixed_ctr_ctrl,12,3039
w_perf_fixed_ctr_ctrl,13,3114
w_perf_fixed_ctr_ctrl,14,3091
w_perf_fixed_ctr_ctrl,15,3110
w_perf_fixed_ctr_ctrl,16,3107
w_perf_fixed_ctr_ctrl,17,3117
w_perf_fixed_ctr_ctrl,18,3116
w_perf_fixed_ctr_ctrl,19,3039
w_perf_fixed_ctr_ctrl,20,3030
w_perf_fixed_ctr_ctrl,21,3117
w_perf_fixed_ctr_ctrl,22,3117
w_perf_fixed_ctr_ctrl,23,3095
w_perf_fixed_ctr_ctrl,24,3050
w_perf_fixed_ctr_ctrl,25,3095
w_perf_fixed_ctr_ctrl,26,3048
w_perf_fixed_ctr_ctrl,27,3050
w_perf_fixed_ctr_ctrl,28,3088
w_perf_fixed_ctr_ctrl,29,3087
w_perf_fixed_ctr_ctrl,30,3096
w_p6_evntsel0,1,3100
w_p6_evntsel0,2,3110
w_p6_evntsel0,3,3096
w_p6_evntsel0,4,3103
w_p6_evntsel0,5,3104
w_p6_evntsel0,6,3101
w_p6_evntsel0,7,3042
w_p6_evntsel0,8,3105
