Test,Iteration,Cycles
r_perf_capabilities,1,20883
r_perf_capabilities,2,20745
r_perf_capabilities,3,20576
r_perf_capabilities,4,20752
r_perf_capabilities,5,20746
r_perf_capabilities,6,20767
r_perf_capabilities,7,20755
r_perf_capabilities,8,21036
r_perf_capabilities,9,20748
r_perf_capabilities,10,20739
r_perf_capabilities,11,20942
r_perf_capabilities,12,20741
r_perf_capabilities,13,20581
r_perf_capabilities,14,20752
r_perf_capabilities,15,20731
r_perf_capabilities,16,20732
r_perf_capabilities,17,20739
r_perf_capabilities,18,20765
r_perf_capabilities,19,20738
r_perf_capabilities,20,20740
r_perf_capabilities,21,20727
r_perf_capabilities,22,20795
r_perf_capabilities,23,20742
r_perf_capabilities,24,20864
r_perf_capabilities,25,20760
r_perf_capabilities,26,20740
r_perf_capabilities,27,20711
r_perf_capabilities,28,21062
r_perf_capabilities,29,20796
r_perf_capabilities,30,20736
r_perf_global_status,1,20688
r_perf_global_status,2,20860
r_perf_global_status,3,20723
r_perf_global_status,4,20871
r_perf_global_status,5,20681
r_perf_global_status,6,20886
r_perf_global_status,7,20880
r_perf_global_status,8,20835
r_perf_global_status,9,20688
r_perf_global_status,10,20861
r_perf_global_status,11,20855
r_perf_global_status,12,20887
r_perf_global_status,13,20893
r_perf_global_status,14,20988
r_perf_global_status,15,21105
r_perf_global_status,16,20830
r_perf_global_status,17,20699
r_perf_global_status,18,20859
r_perf_global_status,19,21135
r_perf_global_status,20,20882
r_perf_global_status,21,20732
r_perf_global_status,22,20915
r_perf_global_status,23,20876
r_perf_global_status,24,20987
r_perf_global_status,25,20848
r_perf_global_status,26,20863
r_perf_global_status,27,20873
r_perf_global_status,28,20875
r_perf_global_status,29,20871
r_perf_global_status,30,20888
w_perf_global_ctrl,1,20683
w_perf_global_ctrl,2,20853
w_perf_global_ctrl,3,20861
w_perf_global_ctrl,4,20848
w_perf_global_ctrl,5,20842
w_perf_global_ctrl,6,20940
w_perf_global_ctrl,7,20859
w_perf_global_ctrl,8,20514
w_perf_global_ctrl,9,20833
w_perf_global_ctrl,10,20836
w_perf_global_ctrl,11,20865
w_perf_global_ctrl,12,20713
w_perf_global_ctrl,13,21126
w_perf_global_ctrl,14,20946
w_perf_global_ctrl,15,20859
w_perf_global_ctrl,16,20851
w_perf_global_ctrl,17,20950
w_perf_global_ctrl,18,20893
w_perf_global_ctrl,19,21106
w_perf_global_ctrl,20,20961
w_perf_global_ctrl,21,20876
w_perf_global_ctrl,22,20860
w_perf_global_ctrl,23,20870
w_perf_global_ctrl,24,20704
w_perf_global_ctrl,25,20952
w_perf_global_ctrl,26,20858
w_perf_global_ctrl,27,20842
w_perf_global_ctrl,28,20888
w_perf_global_ctrl,29,21129
w_perf_global_ctrl,30,20704
w_perf_fixed_ctr_ctrl,1,21234
w_perf_fixed_ctr_ctrl,2,21395
w_perf_fixed_ctr_ctrl,3,21268
w_perf_fixed_ctr_ctrl,4,21220
w_perf_fixed_ctr_ctrl,5,21069
w_perf_fixed_ctr_ctrl,6,21069
w_perf_fixed_ctr_ctrl,7,21193
w_perf_fixed_ctr_ctrl,8,21218
w_perf_fixed_ctr_ctrl,9,21314
w_perf_fixed_ctr_ctrl,10,21239
w_perf_fixed_ctr_ctrl,11,21344
w_perf_fixed_ctr_ctrl,12,21355
w_perf_fixed_ctr_ctrl,13,21053
w_perf_fixed_ctr_ctrl,14,21238
w_perf_fixed_ctr_ctrl,15,21202
w_perf_fixed_ctr_ctrl,16,21224
w_perf_fixed_ctr_ctrl,17,21230
w_perf_fixed_ctr_ctrl,18,21188
w_perf_fixed_ctr_ctrl,19,21231
w_perf_fixed_ctr_ctrl,20,21249
w_perf_fixed_ctr_ctrl,21,21078
w_perf_fixed_ctr_ctrl,22,21082
w_perf_fixed_ctr_ctrl,23,21380
w_perf_fixed_ctr_ctrl,24,21225
w_perf_fixed_ctr_ctrl,25,21249
w_perf_fixed_ctr_ctrl,26,21061
w_perf_fixed_ctr_ctrl,27,21213
w_perf_fixed_ctr_ctrl,28,21235
w_perf_fixed_ctr_ctrl,29,21449
w_perf_fixed_ctr_ctrl,30,21213
w_p6_evntsel0,1,21150
w_p6_evntsel0,2,21210
w_p6_evntsel0,3,21194
w_p6_evntsel0,4,21016
w_p6_evntsel0,5,21203
w_p6_evntsel0,6,21188
w_p6_evntsel0,7,21204
w_p6_evntsel0,8,21192
w_p6_evntsel0,9,21026
w_p6_evntsel0,10,21044
w_p6_evntsel0,11,21153
w_p6_evntsel0,12,21141
w_p6_evntsel0,13,21144
w_p6_evntsel0,14,21206
w_p6_evntsel0,15,21216
w_p6_evntsel0,16,21206
w_p6_evntsel0,17,21193
w_p6_evntsel0,18,21209
w_p6_evntsel0,19,21328
w_p6_evntsel0,20,21209
