Test,Iteration,Cycles
r_perf_capabilities,1,61869
r_perf_capabilities,2,62727
r_perf_capabilities,3,62685
r_perf_capabilities,4,62699
r_perf_capabilities,5,62677
r_perf_capabilities,6,62509
r_perf_capabilities,7,62521
r_perf_capabilities,8,61727
r_perf_capabilities,9,62587
r_perf_capabilities,10,62541
r_perf_capabilities,11,63285
r_perf_capabilities,12,63371
r_perf_capabilities,13,62733
r_perf_capabilities,14,63076
r_perf_capabilities,15,62777
r_perf_capabilities,16,61695
r_perf_capabilities,17,61706
r_perf_capabilities,18,62638
r_perf_capabilities,19,62999
r_perf_capabilities,20,62972
r_perf_capabilities,21,62519
r_perf_capabilities,22,62463
r_perf_capabilities,23,61565
r_perf_capabilities,24,61655
r_perf_capabilities,25,62590
r_perf_capabilities,26,62645
r_perf_capabilities,27,62753
r_perf_capabilities,28,62911
r_perf_capabilities,29,62641
r_perf_capabilities,30,62641
r_perf_global_status,1,63041
r_perf_global_status,2,62871
r_perf_global_status,3,62941
r_perf_global_status,4,62758
r_perf_global_status,5,62713
r_perf_global_status,6,63154
r_perf_global_status,7,62876
r_perf_global_status,8,63011
r_perf_global_status,9,62883
r_perf_global_status,10,63187
r_perf_global_status,11,63306
r_perf_global_status,12,63264
r_perf_global_status,13,63063
r_perf_global_status,14,62382
r_perf_global_status,15,63027
r_perf_global_status,16,61378
r_perf_global_status,17,62606
r_perf_global_status,18,63369
r_perf_global_status,19,63223
r_perf_global_status,20,63035
r_perf_global_status,21,63151
r_perf_global_status,22,62633
r_perf_global_status,23,63308
r_perf_global_status,24,61915
r_perf_global_status,25,63419
r_perf_global_status,26,63106
r_perf_global_status,27,62775
r_perf_global_status,28,62830
r_perf_global_status,29,62723
r_perf_global_status,30,62736
w_perf_global_ctrl,1,63004
w_perf_global_ctrl,2,63119
w_perf_global_ctrl,3,63197
w_perf_global_ctrl,4,63346
w_perf_global_ctrl,5,63265
w_perf_global_ctrl,6,63359
w_perf_global_ctrl,7,63184
w_perf_global_ctrl,8,63043
w_perf_global_ctrl,9,63011
w_perf_global_ctrl,10,63395
w_perf_global_ctrl,11,63293
w_perf_global_ctrl,12,62053
w_perf_global_ctrl,13,63117
w_perf_global_ctrl,14,63282
w_perf_global_ctrl,15,63256
w_perf_global_ctrl,16,63183
w_perf_global_ctrl,17,62888
w_perf_global_ctrl,18,63105
w_perf_global_ctrl,19,62817
w_perf_global_ctrl,20,63561
w_perf_global_ctrl,21,63254
w_perf_global_ctrl,22,63591
w_perf_global_ctrl,23,63464
w_perf_global_ctrl,24,63384
w_perf_global_ctrl,25,63411
w_perf_global_ctrl,26,63247
w_perf_global_ctrl,27,63242
w_perf_global_ctrl,28,61384
w_perf_global_ctrl,29,63227
w_perf_global_ctrl,30,63235
w_perf_fixed_ctr_ctrl,1,63099
w_perf_fixed_ctr_ctrl,2,63061
w_perf_fixed_ctr_ctrl,3,63654
w_perf_fixed_ctr_ctrl,4,63391
